consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training3.started,training3.stopped,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials3.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q56,language_background_q.block_1/Q57.text1,language_background_q.block_1/Q57.text2,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,153.2958,158.7943,0,22,22,26,1,27,ASTUTE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,158.796,164.2943,0,23,23,10,1,11,THREW,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,164.2957,169.7942,0,24,24,23,1,24,WAGON,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,169.7953,175.2942,0,25,25,42,1,43,OPULENT,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,175.2954,180.7942,0,26,26,6,1,7,COOLING,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,180.7958,186.2944,0,27,27,13,1,14,MASTER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,186.2954,191.7943,0,28,28,45,1,46,PAUCITY,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,191.796,197.2942,0,29,29,14,1,15,LEGAL,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,197.2954,202.7943,0,30,30,37,1,38,LAMENT,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,202.7959,208.2942,0,31,31,31,1,32,ENMITY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,208.2958,213.7942,0,32,32,15,1,16,EXAMINE,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,213.7958,219.2941,0,33,33,4,1,5,QUEEN,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,219.295,224.7941,0,34,34,19,1,20,MOTION,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,224.7956,230.2938,0,35,35,8,1,9,COATING,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
