consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training3.started,training3.stopped,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials3.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q4,language_background_q.block_1/Q5.text1,language_background_q.block_1/Q5.text2,language_background_q.block_1/Q5.text3,language_background_q.block_1/Q4_a,language_background_q.block_1/Q11,language_background_q.block_1/Q11-Comment,language_background_q.block_1/Q13,language_background_q.block_1/Q13-Comment,language_background_q.block_1/Q14,language_background_q.block_1/Q15,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q29,language_background_q.block_1/Q30,language_background_q.block_1/Q31,language_background_q.block_1/Q32,language_background_q.block_1/Q34,language_background_q.block_1/Q35,language_background_q.block_1/Q36,language_background_q.block_1/Q37,language_background_q.block_1/Q39,language_background_q.block_1/Q40,language_background_q.block_1/Q41,language_background_q.block_1/Q42,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q56,language_background_q.block_1/Q57.text1,language_background_q.block_1/Q57.text2,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,977.2759,978.7092,y,1.4192,,0,22,22,14,1,breeding,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,978.7099,979.926,n,1.2004,,0,23,23,31,1,bewitch,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,979.9268,982.826,n,2.884,,0,24,24,57,1,pulsh,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,982.8267,984.9676,n,2.1263,,0,25,25,29,1,rebondicate,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,984.9686,986.0092,n,1.0244,,0,26,26,26,1,eloquence,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,986.01,989.7175,y,3.6978,,0,27,27,35,1,interfate,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,989.7184,991.7499,y,2.0173,,0,28,28,1,1,denial,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,991.7506,992.5757,y,0.8059,,0,29,29,11,1,flaw,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,992.5764,994.9174,n,2.3317,,0,30,30,46,1,turmoil,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,994.9182,995.8174,y,0.8836,,0,31,31,13,1,unkempt,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,995.8182,998.2583,n,2.4277,,0,32,32,47,1,carbohydrate,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,998.2591,1001.1674,n,2.8917,,0,33,33,30,1,ingenious,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1001.1683,1003.4091,n,2.2236,,0,34,34,2,1,generic,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,1003.4099,1004.3006,n,0.8749,,0,35,35,16,1,screech,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,1004.3015,1005.2174,n,0.9014,,0,36,36,58,1,muddy,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,1005.218,1009.509,y,4.2818,,0,37,37,62,1,wrought,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,1009.5099,1010.9255,n,1.4033,,0,38,38,54,1,celestial,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,1010.9264,1012.3923,y,1.4502,,0,39,39,55,1,rascal,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1012.393,1015.4173,y,3.0093,,0,40,40,0,1,platery,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,1015.4181,1016.0588,n,0.6248,,0,41,41,23,1,slain,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,1016.0596,1017.5087,y,1.436,,0,42,42,41,1,majestic,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1017.5095,1020.8587,n,3.3364,,0,43,43,3,1,mensible,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,1020.8594,1021.7668,n,0.895,,0,44,44,6,1,ablaze,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,1021.7675,1023.0922,n,1.3149,,0,45,45,50,1,fellick,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,1023.0931,1023.8673,n,0.7623,,0,46,46,32,1,skave,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,1023.868,1024.8087,y,0.9276,,0,47,47,36,1,hasty,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,1024.8095,1025.6162,y,0.7946,,0,48,48,20,1,fluid,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,1025.617,1026.6503,y,1.0234,,0,49,49,42,1,magrity,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,1026.6511,1028.8587,n,2.196,,0,50,50,21,1,spaunch,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,1028.8597,1030.0919,n,1.2167,,0,51,51,39,1,crumper,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1030.0927,1031.1577,n,1.0507,,0,52,52,4,1,scornful,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,1031.1586,1031.9502,n,0.7809,,0,53,53,56,1,purrage,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90950,001,2026-04-21_14h50.39.114,DFv2,2026.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,1031.951,1033.1669,n,1.2027,,0,54,54,38,1,fray,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
