consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training3.started,training3.stopped,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials3.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q4,language_background_q.block_1/Q4_a,language_background_q.block_1/Q6,language_background_q.block_1/Q11,language_background_q.block_1/Q58,language_background_q.block_1/Q55,language_background_q.block_1/Q56,language_background_q.block_1/Q57.text1,language_background_q.block_1/Q57.text2,language_background_q.block_1/Q59,language_background_q.block_1/Q53,language_background_q.block_1/Q48,language_background_q.block_1/Q47,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q17,language_background_q.block_1/Q12,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,398.8943,404.3929,0,38,38,30,1,31,DETER,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,404.3945,409.893,0,39,39,11,1,12,LIBERTY,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,409.8952,415.3919,0,40,40,44,1,45,PATHOS,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,415.3931,420.8929,0,41,41,6,1,7,COOLING,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,420.8943,426.3928,0,42,42,27,1,28,CANDOR,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,426.3946,431.8918,0,43,43,45,1,46,PAUCITY,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,431.8932,437.3919,0,44,44,21,1,22,SWITCH,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,437.3938,442.8919,0,45,45,1,1,2,CLOSER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,442.8932,448.3928,0,46,46,31,1,32,ENMITY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,448.3951,453.8922,0,47,47,17,1,18,RURAL,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,453.9012,507.0278,space,53.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,8,SERVING,easy,,,,,,,,507.0392,513.3761,m,5.3118,,0,0,0,7,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,46,PROSAIC,hard,,,,,,,,513.3775,516.9592,m,2.5447,,0,1,1,45,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,37,AVARICE,hard,,,,,,,,516.9607,519.5592,m,1.5619,,0,2,2,36,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,43,PACIFY,hard,,,,,,,,519.5602,522.5424,z,1.9441,,0,3,3,42,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,10,ADVISED,easy,,,,,,,,522.5436,524.7762,m,1.2058,,0,4,4,9,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,40,INEPT,hard,,,,,,,,524.7771,527.3092,z,1.4939,,0,5,5,39,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,39,EPITOME,hard,,,,,,,,527.3106,529.1916,m,0.8463,,0,6,6,38,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,54,SPEECH,easy,,,,,,,,529.1927,531.1759,z,0.964,,0,7,7,53,1,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,29,REMORSE,hard,,,,,,,,531.177,533.2591,m,1.0449,,0,8,8,28,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,87,LEVITY,hard,,,,,,,,533.2604,535.0249,z,0.7268,,0,9,9,86,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,5,PARTNER,easy,,,,,,,,535.0263,537.5091,m,1.4621,,0,10,10,4,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,92,ORNATE,hard,,,,,,,,537.5104,539.9091,z,1.3613,,0,11,11,91,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
