consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training1.started,training1.stopped,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,812.3844,814.8426,n,2.4288,,0,52,52,42,1,magrity,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,814.8438,816.0835,y,1.2108,,0,53,53,5,1,stoutly,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,816.0845,818.6006,n,2.484900001,,0,54,54,44,1,abergy,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,818.6015,820.2661,n,1.6348,,0,55,55,21,1,spaunch,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,820.2673,821.4249,y,1.1268,,0,56,56,10,1,hurricane,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,821.4259,823.6789,n,2.223,,0,57,57,59,1,quirty,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,823.6799,825.7658,n,2.0565,,0,58,58,0,1,platery,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,825.7665,827.1092,y,1.3131,,0,59,59,20,1,fluid,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,827.1102,828.3714,y,1.2318,,0,60,60,61,1,listless,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,828.3724,829.6729,y,1.2708,,0,61,61,56,1,purrage,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,829.6739,831.3542,y,1.6514,,0,62,62,8,1,moonlit,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes_class,9,10,8,10,0,Sometimes,"[""neighbors_community"",""colleagues_classmates""]",No,bachelors,22,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.489
