consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training3.started,training3.stopped,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials3.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,176.3604,181.8581,0,22,22,37,1,38,LAMENT,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,181.8592,187.3581,0,23,23,23,1,24,WAGON,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,187.3595,192.8578,0,24,24,40,1,41,NASCENT,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,192.8593,198.3582,0,25,25,30,1,31,DETER,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,198.3595,203.8577,0,26,26,3,1,4,SOMEHOW,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,203.8589,209.3581,0,27,27,7,1,8,FARTHER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,209.3594,214.8581,0,28,28,45,1,46,PAUCITY,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,214.8598,220.3577,0,29,29,0,1,1,DEPTH,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,220.3587,225.8582,0,30,30,16,1,17,SUPPER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,225.8593,231.3583,0,31,31,8,1,9,COATING,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
