consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training4.started,training4.stopped,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,trials4.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q4,language_background_q.block_1/Q5.text1,language_background_q.block_1/Q5.text2,language_background_q.block_1/Q4_a,language_background_q.block_1/Q11,language_background_q.block_1/Q11-Comment,language_background_q.block_1/Q13,language_background_q.block_1/Q13-Comment,language_background_q.block_1/Q14,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q29,language_background_q.block_1/Q30,language_background_q.block_1/Q31,language_background_q.block_1/Q32,language_background_q.block_1/Q34,language_background_q.block_1/Q35,language_background_q.block_1/Q36,language_background_q.block_1/Q37,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q56,language_background_q.block_1/Q57.text1,language_background_q.block_1/Q57.text2,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0242,673.9058,n,1.8629,,0,62,62,91,1,92,Steve Yussen,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.9069,676.84,n,2.9074,,0,63,63,73,1,74,Lauren Adamson,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.8413,679.2065,n,2.3387,,0,64,64,72,1,73,Mark Strauss,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.2077,680.7565,y,1.5219,,0,65,65,24,1,25,Isabel Allende,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.7576,682.4232,y,1.6419,,0,66,66,23,1,24,George Orwell,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.4244,684.5067,n,2.055,,0,67,67,90,1,91,Noah Whittington,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.5079,685.8059,y,1.2763,,0,68,68,64,1,65,Kirby Kavanagh,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.807,686.99,n,1.1579,,0,69,69,11,1,12,Salman Rushdie,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.9912,689.0232,y,2.0124,,0,70,70,7,1,8,J.D. Salinger,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.0246,691.4066,y,2.3598,,0,71,71,68,1,69,David Perry,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.4076,692.6566,y,1.2324,,0,72,72,77,1,78,Reuben Baron,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.6577,694.7566,n,2.0781,,0,73,73,86,1,87,Frances Fincham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.7579,696.4899,n,1.7069,,0,74,74,51,1,52,Lauren Benjamin,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.491,698.6567,y,2.1412,,0,75,75,12,1,13,Kazuo Ishiguro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.6581,701.239,y,2.564,,0,76,76,76,1,77,Margarita Azmitia,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.24,703.8899,y,2.6292,,0,77,77,25,1,26,Ralph Ellison,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703.8911,707.0399,n,3.1218,,0,78,78,41,1,42,Tom Clancy,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.0412,708.6732,n,1.6098,,0,79,79,95,1,96,Hugh Lytton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.6744,710.5066,n,1.8122,,0,80,80,44,1,45,Jack London,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.508,711.8235,y,1.2877,,0,81,81,35,1,36,James Patterson,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.825,713.6733,n,1.8339,,0,82,82,2,1,3,Bernard Malamud,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.6744,716.0224,y,2.3264,,0,83,83,69,1,70,Miriam Sexton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.0235,717.4057,n,1.3678,,0,84,84,18,1,19,Nora Ephron,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.4067,718.64,n,1.2157,,0,85,85,71,1,72,Robert Siegler,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206790,001,2026-04-19_13h02.31.344,DFv2,2026.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.6411,720.0567,y,1.3966,,0,86,86,61,1,62,Sheryl Green,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
