consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training3.started,training3.stopped,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials3.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,language_background_q.block_1/Q60
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,185.6341,191.1316,0,23,23,19,1,20,MOTION,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,191.1339,196.6316,0,24,24,9,1,10,LISTEN,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,196.6339,202.1314,0,25,25,34,1,35,GARNER,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,202.134,207.631,0,26,26,21,1,22,SWITCH,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,207.6341,213.1312,0,27,27,36,1,37,INSIPID,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,213.1333,218.6308,0,28,28,1,1,2,CLOSER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,218.6332,224.1307,0,29,29,13,1,14,MASTER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,224.1337,229.6314,0,30,30,20,1,21,FICTION,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,229.6337,235.1309,0,31,31,2,1,3,ASSUME,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,235.1333,240.6311,0,32,32,12,1,13,CUTTING,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,240.6329,246.1311,0,33,33,43,1,44,ORNATE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,246.1334,251.6308,0,34,34,47,1,48,PROBITY,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,251.6329,257.1304,0,35,35,32,1,33,ESCHEW,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,257.1334,262.6308,0,36,36,8,1,9,COATING,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,262.6337,268.131,0,37,37,38,1,39,LEVITY,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,268.1332,273.6305,0,38,38,26,1,27,ASTUTE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,273.6332,279.13,0,39,39,40,1,41,NASCENT,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,279.1329,284.6306,0,40,40,46,1,47,PENSIVE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,284.6327,290.1301,0,41,41,14,1,15,LEGAL,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,290.1319,295.6303,0,42,42,35,1,36,INANE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,295.6332,301.1307,0,43,43,28,1,29,COPIOUS,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,301.133,306.6303,0,44,44,11,1,12,LIBERTY,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,306.6337,312.1302,0,45,45,4,1,5,QUEEN,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,312.1333,317.6305,0,46,46,25,1,26,AMPLIFY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,317.6332,323.1303,0,47,47,7,1,8,FARTHER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,323.1555,396.9813,space,73.7792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
