consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training4.started,training4.stopped,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,trials4.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,198.0901,203.5889,0,23,23,8,1,9,COATING,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,203.5901,209.089,0,24,24,18,1,19,CULTURE,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,209.0898,214.5891,0,25,25,24,1,25,AFFABLE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,214.59,220.0889,0,26,26,1,1,2,CLOSER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,220.09,225.5888,0,27,27,39,1,40,MYOPIC,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,225.5895,231.0889,0,28,28,37,1,38,LAMENT,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,231.0896,236.5889,0,29,29,13,1,14,MASTER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,236.5897,242.0889,0,30,30,10,1,11,THREW,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,242.0895,247.5889,0,31,31,26,1,27,ASTUTE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,247.5897,253.0889,0,32,32,47,1,48,PROBITY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
