consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training2.started,training2.stopped,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q4,language_background_q.block_1/Q4-Comment,language_background_q.block_1/Q4_a,language_background_q.block_1/Q6,language_background_q.block_1/Q12,language_background_q.block_1/Q11,language_background_q.block_1/Q11-Comment,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q48,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,167.6173,173.1165,0,29,29,11,1,12,BELIEF,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,173.119,178.6163,0,30,30,38,1,39,EPITOME,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,178.6178,184.1157,0,31,31,18,1,19,BRANCH,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,184.1173,189.6168,0,32,32,21,1,22,ENTER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,189.6184,195.117,0,33,33,2,1,3,ADDRESS,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,195.1186,200.6168,0,34,34,10,1,11,ANGRY,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,200.6178,206.1165,0,35,35,35,1,36,APPEASE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,206.1201,211.6175,0,36,36,47,1,48,REBUKE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,211.6192,217.117,0,37,37,13,1,14,GRAVE,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,217.1186,222.6175,0,38,38,12,1,13,WEATHER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,222.6195,228.1176,0,39,39,26,1,27,RATIFY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,228.1192,233.6178,0,40,40,45,1,46,PROSAIC,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,233.6193,239.1181,0,41,41,20,1,21,SHOCK,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,239.1203,244.6179,0,42,42,40,1,41,LIBEL,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,244.62,250.117,0,43,43,24,1,25,PROFANE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,250.1188,255.6183,0,44,44,46,1,47,PRUDENT,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,255.6202,261.1181,0,45,45,15,1,16,REGION,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,261.1201,266.6171,0,46,46,31,1,32,SQUALID,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,266.619,272.1183,0,47,47,9,1,10,ADVISED,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,,,,,,272.1395,303.2187,space,31.0559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,13,WEATHER,easy,,,,,,,,303.2286,311.2847,z,7.008,,0,0,0,12,1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,16,REGION,easy,,,,,,,,311.2875,313.8858,z,1.5618,,0,1,1,15,1,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,65,SUPPER,easy,,,,,,,,313.8871,316.719,m,1.7776,,0,2,2,64,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,76,CANDOR,hard,,,,,,,,316.72,319.9191,m,2.142,,0,3,3,75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,53,QUEEN,easy,,,,,,,,319.9203,322.2525,m,1.263,,0,4,4,52,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,6,POETIC,easy,,,,,,,,322.2538,324.685,z,1.363,,0,5,5,5,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,26,PUERILE,hard,,,,,,,,324.6865,327.4528,m,1.7275,,0,6,6,25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,52,SOMEHOW,easy,,,,,,,,327.4542,330.0517,m,1.5284,,0,7,7,51,1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,35,BANAL,hard,,,,,,,,330.053,332.5863,z,1.4899,,0,8,8,34,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,79,DETER,hard,,,,,,,,332.5878,335.0851,m,1.4369,,0,9,9,78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,59,THREW,easy,,,,,,,,335.0862,337.0187,m,0.8741,,0,10,10,58,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,25,PROFANE,hard,,,,,,,,337.0199,338.8863,z,0.8276,,0,11,11,24,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,28,REFUTE,hard,,,,,,,,338.8878,340.6861,z,0.7474,,0,12,12,27,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,37,AVARICE,hard,,,,,,,,340.6873,342.5529,z,0.8182,,0,13,13,36,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,72,WAGON,easy,,,,,,,,342.5539,344.653,m,1.0322,,0,14,14,71,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,73,AFFABLE,hard,,,,,,,,344.6543,347.3858,m,1.6703,,0,15,15,72,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,41,LIBEL,hard,,,,,,,,347.387,349.4197,z,0.9997,,0,16,16,40,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
